# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	1807
#@/user_id	170f9b2c-d1c4-4432-a096-8827b720de9d
a 	啊	c=9 d=1.18438 t=1768
an niu 	按鈕	c=3 d=1.80408 t=858
an pai 	安排	c=1 d=1 t=309
an zhuang 	安裝	c=2 d=1.00456 t=1167
ao 	奧	c=0 d=0.1 t=1154
ba 	吧	c=10 d=1.8693 t=1804
ba 	把	c=1 d=1 t=1671
bai se 	白色	c=2 d=1.53526 t=798
ban ben 	版本	c=1 d=1 t=1495
ban che 	班車	c=1 d=1 t=1774
ban tian 	半天	c=1 d=1 t=973
bang bang 	棒棒	c=1 d=1 t=456
bang mang 	幫忙	c=1 d=1 t=366
bang ni 	幫你	c=1 d=1 t=157
bang wo 	幫我	c=4 d=1.61721 t=645
bang zhu 	幫助	c=1 d=1 t=949
bao 	包	c=1 d=1 t=1597
bao chi 	保持	c=1 d=1 t=925
bao jing 	報警	c=1 d=1 t=199
bei 	被	c=3 d=1.09126 t=1689
bei shang 	悲傷	c=1 d=1 t=1713
ben di 	本地	c=6 d=3.26324 t=1519
bi ji 	筆記	c=1 d=1 t=1685
bi jiao 	比較	c=0 d=0.1 t=1154
bi jiao ao 	比較奧	c=1 d=1 t=1155
bian cheng 	變成	c=1 d=1 t=1468
bian geng 	變更	c=1 d=1 t=801
bian hua 	變化	c=1 d=1 t=1611
bian su 	變速	c=7 d=5.35786 t=1011
bian yi 	便宜	c=1 d=1 t=522
bian yi 	編譯	c=2 d=1.63128 t=615
biao ji 	標記	c=1 d=1 t=1558
bie ren 	別人	c=1 d=1 t=281
bing 	並	c=2 d=1.66698 t=1379
bo bo 	波波	c=1 d=1 t=845
bo fang 	播放	c=10 d=7.86852 t=1073
bo fang qi 	播放器	c=1 d=1 t=1112
bo zhe 	波折	c=1 d=1 t=233
bu 	不	c=8 d=1.91594 t=1583
bu chang 	步長	c=1 d=1 t=1122
bu cun zai 	不存在	c=1 d=1 t=656
bu cuo 	不錯	c=2 d=1.00146 t=1744
bu da 	不大	c=1 d=1 t=1308
bu dao 	不到	c=2 d=1.91393 t=1437
bu gou 	不夠	c=1 d=1 t=143
bu he li 	不合理	c=1 d=1 t=1098
bu hui you 	不會有	c=1 d=1 t=1283
bu huo qu 	不獲取	c=2 d=1.99005 t=763
bu jia 	不加	c=2 d=1.99501 t=652
bu le 	不了	c=1 d=1 t=389
bu shi 	不是	c=1 d=1.00025 t=1221
bu xia lai 	不下來	c=1 d=1 t=349
bu xing 	不行	c=1 d=1 t=538
bu yong 	不用	c=1 d=1 t=760
bu zhi dao 	不知道	c=1 d=1 t=246
bu zu 	不足	c=1 d=1 t=932
cai 	才	c=1 d=0.50657 t=401
cai dan 	菜單	c=4 d=3.6789 t=923
cai hao kan 	才好看	c=1 d=1 t=402
cai shi 	纔是	c=1 d=1 t=1272
can shu 	參數	c=1 d=1 t=581
ceng jing 	曾經	c=1 d=1 t=206
cha 	插	c=1 d=1 t=49
cha kou 	插口	c=1 d=1 t=61
chao guo 	超過	c=1 d=1 t=1548
che xiao 	撤銷	c=3 d=2.01373 t=864
chen 	陳	c=2 d=1.97045 t=369
cheng 	誠	c=1 d=1 t=144
cheng gong 	成功	c=2 d=1.02317 t=1369
chi 	吃	c=1 d=1 t=1733
chi dao 	遲到	c=1 d=1 t=382
chi fan 	吃飯	c=1 d=1 t=1783
chong fu 	重複	c=1 d=1 t=918
chong xin 	重新	c=5 d=2.7161 t=1674
chong zai 	重載	c=3 d=2.74464 t=1537
chong zhuang 	重裝	c=1 d=1 t=334
chong zuo 	重做	c=2 d=1.3413 t=809
chou feng 	抽風	c=1 d=1 t=1651
chu fa 	出發	c=1 d=1 t=1639
chu lai 	出來	c=2 d=1.3624 t=1381
chu le 	除了	c=1 d=1 t=1
chu li 	處理	c=3 d=1.25738 t=1481
chu li yi xia 	處理一下	c=1 d=1 t=1191
chu shi hua 	初始化	c=1 d=1 t=560
chu zai 	處在	c=1 d=1 t=1153
chuan 	傳	c=2 d=1.00387 t=1693
ci 	次	c=0 d=0.1 t=1711
cong 	從	c=7 d=1.68622 t=1582
cun 	存	c=1 d=1 t=1708
cun 	村	c=0 d=0.1 t=768
cun qi lai 	村起來	c=1 d=1 t=769
cun zai 	存在	c=3 d=1.72192 t=1630
da bao 	打包	c=1 d=1 t=1193
da chu xue 	大出血	c=1 d=1 t=1748
da jia 	大家	c=1 d=1 t=1798
da lao 	大佬	c=1 d=1 t=894
dai ma 	代碼	c=4 d=2.32531 t=1347
dan shi 	但是	c=3 d=1.35724 t=1424
dan xin 	擔心	c=1 d=1 t=1226
dang 	當	c=2 d=1.93707 t=1580
dang qian 	當前	c=3 d=1.37213 t=1113
dang ran 	當然	c=1 d=1 t=304
dao 	倒	c=6 d=1.11437 t=1725
dao 	到	c=5 d=2.44614 t=1003
dao shi 	倒是	c=1 d=1 t=1394
de 	的	c=75 d=7.56083 t=1806
de dao 	得到	c=2 d=1.99501 t=1806
de sa dan 	的撒旦	c=1 d=1 t=1807
dei 	得	c=5 d=1.00548 t=1763
deng wo 	等我	c=1 d=1 t=705
di ceng 	底層	c=1 d=1 t=994
di fang 	地方	c=1 d=1 t=979
di yi 	第一	c=0 d=0.1 t=1015
di yi zhen 	第一幀	c=1 d=1 t=1016
di zhi 	地址	c=2 d=1.24414 t=874
dian 	點	c=5 d=1.74998 t=1718
dian ji 	點擊	c=3 d=1.81589 t=1013
dian jia 	店家	c=1 d=1 t=676
dian le 	點了	c=1 d=1 t=843
dian liang 	電量	c=1 d=1 t=931
dian nao 	電腦	c=3 d=1.0926 t=1688
ding shi qi 	定時器	c=1 d=1 t=1127
dong hua 	動畫	c=4 d=3.76719 t=945
dong zuo 	動作	c=1 d=1 t=866
dou 	都	c=12 d=4.46741 t=1697
dou shi 	都是	c=1 d=1 t=279
dou you 	都有	c=0 d=0.100502 t=1757
du 	毒	c=1 d=1 t=348
du qu 	讀取	c=1 d=1 t=1436
du te 	獨特	c=1 d=1 t=329
duan kai 	斷開	c=1 d=1 t=1613
duan xin 	短信	c=1 d=1 t=185
dui 	對	c=5 d=1.28613 t=1759
duo 	多	c=1 d=1 t=1659
duo yu 	多餘	c=2 d=1.99005 t=1230
e 	餓	c=1 d=1 t=694
e 	鵝	c=1 d=1 t=612
en 	恩	c=6 d=1.02792 t=1767
en en 	嗯嗯	c=8 d=2.97921 t=1729
er zi 	兒子	c=2 d=1.9802 t=453
fa 	發	c=0 d=0.1 t=1174
fa sheng 	發生	c=1 d=1 t=359
fa xian 	發現	c=2 d=1.34994 t=975
fang 	放	c=1 d=1 t=833
fang da 	放大	c=1 d=1 t=336
fang fa 	方法	c=2 d=1.10127 t=1177
fang xiang 	芳香	c=1 d=1 t=497
fang xiang jian 	方向鍵	c=2 d=1.99501 t=190
fang xue 	放學	c=1 d=1 t=710
fang zai 	放在	c=0 d=0.1 t=127
fang zhi 	防止	c=1 d=1 t=937
fang zi 	房子	c=1 d=1 t=1220
fei 	非	c=1 d=1 t=1007
fen zhong 	分鐘	c=3 d=2.64382 t=1634
feng mian 	封面	c=23 d=4.90654 t=1142
feng mian tu 	封面圖	c=1 d=1 t=725
fu gu 	復古	c=1 d=1 t=464
gai 	該	c=1 d=1 t=907
gai bian 	改變	c=2 d=1.57984 t=1393
gan diao 	幹掉	c=1 d=1 t=375
gan ga 	尷尬	c=1 d=1 t=1156
gan jue 	感覺	c=1 d=1 t=1660
gan xie 	感謝	c=1 d=1 t=1335
gang gang 	剛剛	c=1 d=1 t=358
gao 	搞	c=2 d=1.04782 t=982
gao qi lai 	搞起來	c=1 d=1 t=1695
ge 	哥	c=1 d=1 t=343
ge ming 	革命	c=1 d=1 t=214
gei 	給	c=1 d=1 t=1602
gen duo 	跟多	c=1 d=1 t=1316
geng duo 	更多	c=1 d=1 t=1317
geng xin 	更新	c=7 d=2.94637 t=1607
gong gao 	公告	c=4 d=3.21309 t=1357
gong si 	公司	c=1 d=0.385076 t=260
gong wei 	工位	c=1 d=1 t=57
gong zi 	工資	c=1 d=1 t=263
gong zuo 	工作	c=4 d=1.0314 t=1325
gou 	夠	c=1 d=1 t=110
gou ge 	狗哥	c=1 d=1 t=267
gou tong 	溝通	c=1 d=1 t=1165
guang gao 	廣告	c=1 d=1 t=1438
guang ge 	光哥	c=2 d=1.94649 t=542
gui dao 	軌道	c=1 d=1 t=730
guo 	過	c=4 d=1.83414 t=1344
guo lai 	過來	c=3 d=2.37519 t=644
guo lv 	過濾	c=1 d=1 t=917
guo yi xia 	國一下	c=1 d=1 t=1302
ha 	哈	c=4 d=1.05003 t=1775
ha ha 	哈哈	c=7 d=1.80426 t=1790
ha ha ha 	哈哈哈	c=3 d=1.6057 t=814
hai 	還	c=3 d=1.03307 t=848
hai dei 	還得	c=1 d=1 t=733
hai mei 	還沒	c=2 d=1.01116 t=1196
hai shi 	還是	c=4 d=1.21046 t=1464
hai you 	還有	c=2 d=1.75201 t=877
hai zai 	還在	c=1 d=1 t=1324
han wo 	酣臥	c=1 d=1 t=81
hao 	好	c=22 d=3.07529 t=1676
hao ba 	好吧	c=2 d=1.73712 t=1286
hao de 	好的	c=3 d=1.05167 t=1737
hao di 	好滴	c=1 d=1 t=638
hao duo 	好多	c=1 d=1 t=1215
hao jiu 	好久	c=1 d=1 t=888
hao kan 	好看	c=0 d=0.1 t=401
hao xiang 	好像	c=1 d=1 t=732
he 	和	c=3 d=1.0973 t=1160
he 	喝	c=4 d=1.23372 t=664
he he 	呵呵	c=1 d=1 t=69
he nai cha 	和奶茶	c=1 d=1 t=12
he wo 	和我	c=1 d=1 t=80
hei 	嘿	c=1 d=1 t=687
hen 	很	c=3 d=1.70546 t=455
hen jiu 	很久	c=1 d=1 t=738
hen kuai 	很快	c=1 d=1 t=1524
hou 	後	c=20 d=3.16651 t=1723
hou tai 	後臺	c=1 d=1 t=1279
hou xu 	後續	c=2 d=1.015 t=1056
hu jiao 	呼叫	c=1 d=1 t=541
hu lve 	忽略	c=1 d=1 t=492
hua dong 	滑動	c=1 d=1 t=1115
hua dong 	華東	c=1 d=1 t=1114
hua mian 	畫面	c=1 d=1 t=718
huan 	換	c=1 d=1 t=66
huan cun 	緩存	c=5 d=2.62862 t=1672
huan dun 	換噸	c=1 d=1 t=1430
huan jing 	環境	c=3 d=1.00272 t=1400
hui 	會	c=15 d=3.90392 t=1638
hui bei 	會被	c=0 d=0.1 t=393
hui bei wo 	會被我	c=1 d=1 t=394
hui da 	回答	c=1 d=1 t=388
hui fu 	回覆	c=1 d=1 t=1210
hui fu 	恢復	c=5 d=2.9644 t=1665
hui jia 	回家	c=1 d=1 t=289
hui lai 	回來	c=1 d=1 t=352
hui wu 	會晤	c=1 d=1 t=1209
huo 	或	c=1 d=1 t=1545
huo qu 	獲取	c=8 d=3.43704 t=1590
ji hua 	計劃	c=2 d=1.08152 t=558
ji hui 	機會	c=1 d=1 t=821
ji huo 	激活	c=1 d=1 t=1635
ji shu 	技術	c=1 d=1 t=250
jia 	加	c=1 d=1 t=1516
jia 	家	c=1 d=1 t=1757
jia ban 	加班	c=4 d=1.55043 t=655
jia ban gong si 	加班公司	c=1 d=1 t=261
jia you 	加油	c=2 d=1.99501 t=372
jian ge 	間隔	c=2 d=1.94176 t=1547
jian gong 	監工	c=1 d=1 t=690
jian ji 	剪輯	c=3 d=1.09149 t=1130
jian kang 	健康	c=2 d=1.55711 t=1586
jian pan 	鍵盤	c=2 d=1.80252 t=445
jian ting 	監聽	c=1 d=1 t=1609
